Poet,Title,Poem
AMIRI BARAKA,Dope,"uuuuuuuuuu
uuuuuuuuuu
uuuuuuuuuu   uuu   ray light morning fire lynch yet
                                     uuuuuuu, yester-pain in dreams
                                     comes again. race-pain, people our people
                                         our people
                                     everywhere . . . yeh . . . uuuuu, yeh
                                     uuuuu. yeh
                                     our people
                                     yes people
                                     every people
                                     most people
                                     uuuuuu, yeh uuuuu, most people
                                     in pain
                                     yester-pain, and pain today
                                     (Screams) ooowow!      ooowow! It must be
                                         the devil
                                     (jumps up like a claw stuck him) oooo
                                         wow! oooowow! (screams)
 
                                     It must be the devil
                                     It must be the devil
                                     it must be the devil
                                     (shakes like evangelical sanctify
                                     shakes tambourine like evangelical sanctify
                                         in heat)
 
                                     ooowow! ooowow! yeh, devil, yeh, devil
                                         ooowow!
 
                                     Must be the devil must be the devil
                                     (waves plate like collection) mus is mus is
                                         mus is
                                     mus is be the devil, cain be rockefeller
                                         (eyes roll
                                     up batting, and jumping all the way around
                                         to face the
                                     other direction) caint be him, no lawd
                                     aint be dupont, no lawd, cain be, no lawd, 
                                         no way
                                     noway, naw saw, no way jose — cain be
                                         them rich folks
                                     theys good to us theys good to us theys
                                         good to us theys
                                     good to us theys good to us, i know, the
                                         massa tolt me
                                     so, i seed it on channel 7, i seed it on
                                         channel 9 i seed
                                     it on channel 4 and 2 and 5. Rich folks
                                         good to us
                                     poor folks aint shit, hallelujah, hallelujah,
                                         ooowow! oowow!
                                     must be the devil, going to heaven after i
                                         die, after we die
                                     everything going to be different, after we die
                                         we aint gon be
                                     hungry, ain gon be pain, ain gon be sufferin
                                         wont go thru this
                                     again, after we die, after we die owooo!
                                         owowoooo!
                                     after we die, its all gonna be good, have all
                                         the money we
                                     need after we die, have all the food we
                                         need after we die
                                     have a nice house like the rich folks, after
                                         we die, after we die, after we
                                     die, we can live like rev ike, after we die,
                                         hallelujah, hallelujah, must be
                                     the devil, it ain capitalism, it aint capitalism,
                                         it aint capitalism,
                                     naw it aint that, jimmy carter wdnt lie,
                                         “lifes unfair” but it aint capitalism
                                     must be the devil, owow! it ain the police,
                                         jimmy carter wdnt lie, you
                                     know rosalynn wdnt not lillian, his
                                         drunken racist brother aint no reflection
                                     on jimmy, must be the devil got in im, i tell
                                         you, the devil killed malcolm
                                     and dr king too, even killed both kennedies,
                                         and pablo neruda and overthrew
                                     allende’s govt. killed lumumba, and is
                                         negotiating with step and fetchit,
                                     sleep n eat and birmingham, over there in
                                         “Rhodesia”, goin’ under the name
                                     ian smith, must be the devil, caint be vortser,
                                         caint be apartheid, caint
                                     be imperialism, jimmy carter wdnt lie, didnt
                                         you hear him say in his state
                                     of the union message, i swear on rosalynn’s
                                         face-lifted catatonia, i wdnt lie
                                     nixon lied, haldeman lied, dean lied, hoover
                                         lied hoover sucked (dicks) too
                                     but jimmy dont, jimmy wdnt jimmy aint lying,
                                         must be the devil, put yr
                                     money on the plate, must be the devil, in
                                         heaven we’all all be straight
                                     cain be rockefeller, he gave amos pootbootie a
                                         scholarship to Behavior
                                     Modification Univ, and Genevieve Almoswhite
                                         works for his foundation
                                     Must be niggers! Cain be Mellon, he gave
                                         Winky Suckass, a fellowship in
                                     his bank put him in charge of closing out
                                         mortgages in the lowlife
                                     Pittsburgh Hill nigger section, caint be him.
                                                  (Goes on babbling, and wailing, jerking
                                         in pathocrazy grin stupor)
                                     Yessuh, yessuh, yessuh, yessuh, yessuh, yes-
                                         suh, yessuh, yessuh, yessuh, yessuh,
                                     put yr money in the plate, dont be late, dont
                                         have to wait, you gonna be in
                                     heaven after you die, you gon get all you need
                                         once you gone, yessuh, i heard
                                     it on the jeffersons, i heard it on the rookies,
                                         I swallowed it
                                     whole on roots: wasn’t it nice slavery was so
                                         cool and
                                     all you had to do was wear derbies and vests
                                         and train chickens and buy your
                                     way free if you had a mind to, must be the
                                         devil, wasnt no white folks,
                                     lazy niggers chained theyselves and threw
                                         they own black asses in the bottom
                                     of the boats, [(well now that you mention it King
                                     Assblackuwasi helped throw yr ass in
                                     the bottom of the boat, yo mamma, wife, and
                                         you never seed em no more)] must
                                     a been the devil, gimme your money put your
                                         money on this plate, heaven be here soon,
                                     just got to die, just got to stop living, close yr
                                         eyes stop
                                     breathin and bammm-O heaven be here, you
                                         have all a what you need, Bam-O
                                     all a sudden, heaven be here, you have all you
                                         need, that assembly line
                                     you work on will dissolve in thin air owowoo!
                                         owowoo! Just gotta die
                                     just gotta die, this ol world aint nuthin, must be
                                         the devil got you
                                     thinkin so, it cain be rockefeller, it cain be mor-
                                         gan, it caint be capitalism
                                     it caint be national oppression owow! No Way!
                                         Now go back to work and cool
                                     it, go back to work and lay back, just a little
                                         while longer till you pass
                                     its all gonna be alright once you gone. gimme
                                         that last bitta silver you got
                                     stashed there sister, gimme that dust now broth-
                                         er man, itll be ok on the
                                     other side, yo soul be clean be washed pure
                                         white. yes. yes. yes. owow.
                                     now go back to work, go to sleep, yes, go to
                                         sleep, go back to work, yes
                                     owow. owow. uuuuuuuuuu, uuuuuuuuuuu,
                                         uuuuuuuuuuu. yes, uuuuuuu. yes.
                                         uuuuuuuuuu.
                                     a men.
"
AMIRI BARAKA,Incident,"He came back and shot. He shot him. When he came   
back, he shot, and he fell, stumbling, past the   
shadow wood, down, shot, dying, dead, to full halt.

At the bottom, bleeding, shot dead. He died then, there   
after the fall, the speeding bullet, tore his face   
and blood sprayed fine over the killer and the grey light.

Pictures of the dead man, are everywhere. And his spirit   
sucks up the light. But he died in darkness darker than   
his soul and everything tumbled blindly with him dying

down the stairs.   

We have no word

on the killer, except he came back, from somewhere   
to do what he did. And shot only once into his victim's
stare, and left him quickly when the blood ran out. We know

the killer was skillful, quick, and silent, and that the victim   
probably knew him. Other than that, aside from the caked sourness   
of the dead man's expression, and the cool surprise in the fixture

of his hands and fingers, we know nothing."
AMIRI BARAKA,Legacy,"(For Blues People)

In the south, sleeping against
the drugstore, growling under   
the trucks and stoves, stumbling   
through and over the cluttered eyes   
of early mysterious night. Frowning   
drunk waving moving a hand or lash.   
Dancing kneeling reaching out, letting   
a hand rest in shadows. Squatting   
to drink or pee. Stretching to climb   
pulling themselves onto horses near   
where there was sea (the old songs   
lead you to believe). Riding out   
from this town, to another, where   
it is also black. Down a road
where people are asleep. Towards   
the moon or the shadows of houses.   
Towards the songs’ pretended sea.
"
AMIRI BARAKA,"Preface to a Twenty Volume Suicide Note
","for Kellie Jones, born 16 May 1959

Lately, I've become accustomed to the way
The ground opens up and envelopes me
Each time I go out to walk the dog.
Or the broad edged silly music the wind
Makes when I run for a bus...

Things have come to that.

And now, each night I count the stars,
And each night I get the same number.
And when they will not come to be counted,
I count the holes they leave.

Nobody sings anymore.

And then last night, I tiptoed up
To my daughter's room and heard her
Talking to someone, and when I opened
The door, there was no one there...
Only she on her knees, peeking into

Her own clasped hands.
"
AMIRI BARAKA,"Short Speech to My Friends
","A political art, let it be
tenderness, low strings the fingers
touch, or the width of autumn
climbing wider avenues, among the virtue
and dignity of knowing what city
you’re in, who to talk to, what clothes
—even what buttons—to wear. I address
                                                                        / the society
                                                                        the image, of
                                                                        common utopia.
 
                                                                        / The perversity
                                                                        of separation, isolation,
after so many years of trying to enter their kingdoms,
now they suffer in tears, these others, saxophones whining
through the wooden doors of their less than gracious homes.
The poor have become our creators. The black. The thoroughly
ignorant.
                  Let the combination of morality
and inhumanity
begin.
 
 
   
    2. 

 
Is power, the enemy? (Destroyer
of dawns, cool flesh of valentines, among
the radios, pauses, drunks
of the 19th century. I see it,
as any man's single history. All the possible heroes
dead from heat exhaustion
                                                   at the beach
                                                   or hiding for years from cameras
only to die cheaply in the pages
of our daily lie.
                             One hero
has pretensions toward literature
one toward the cultivation of errors, arrogance,
and constantly changing disguises, as trucker, boxer,
valet, barkeep, in the aging taverns of memory. Making love
to those speedy heroines of masturbation or kicking literal evil
continually down filmy public stairs.


A compromise
would be silence. To shut up, even such risk
as the proper placement
of verbs and nouns. To freeze the spit
in mid-air, as it aims itself
at some valiant intellectual's face.

There would be someone
who would understand, for whatever
fancy reason. Dead, lying, Roi, as your children
cane up, would also rise. As George Armstrong Custer
these 100 years, has never made
a mistake.
"
PAUL LAURENCE DUNBAR,"The Corn-Stalk Fiddle
","When the corn’s all cut and the bright stalks shine
   Like the burnished spears of a field of gold;
When the field-mice rich on the nubbins dine,
   And the frost comes white and the wind blows cold;
Then its heigho fellows and hi-diddle-diddle,
For the time is ripe for the corn-stalk fiddle.

And you take a stalk that is straight and long,
   With an expert eye to its worthy points,
And you think of the bubbling strains of song
   That are bound between its pithy joints—
Then you cut out strings, with a bridge in the middle,
With a corn-stalk bow for a corn-stalk fiddle.

Then the strains that grow as you draw the bow
   O’er the yielding strings with a practiced hand!
And the music’s flow never loud but low
   Is the concert note of a fairy band.
Oh, your dainty songs are a misty riddle
To the simple sweets of the corn-stalk fiddle.

When the eve comes on and our work is done
   And the sun drops down with a tender glance,
With their hearts all prime for the harmless fun,
   Come the neighbor girls for the evening’s dance,
And they wait for the well-known twist and twiddle,
More time than tune—from the corn-stalk fiddle.

Then brother Jabez takes the bow,
   While Ned stands off with Susan Bland,
Then Henry stops by Milly Snow
   And John takes Nellie Jones’s hand,
While I pair off with Mandy Biddle,
And scrape, scrape, scrape goes the corn-stalk fiddle.

“Salute your partners,” comes the call,
   “All join hands and circle round,”
“Grand train back,” and “Balance all,”
   Footsteps lightly spurn the ground,
“Take your lady and balance down the middle”
To the merry strains of the corn-stalk fiddle.

So the night goes on and the dance is o’er,
   And the merry girls are homeward gone,   
But I see it all in my sleep once more,
   And I dream till the very break of dawn
Of an impish dance on a red-hot griddle
To the screech and scrape of a corn-stalk fiddle.
"
PAUL LAURENCE DUNBAR,The Debt,"This is the debt I pay
Just for one riotous day,
Years of regret and grief,
Sorrow without relief.

Pay it I will to the end —
Until the grave, my friend,
Gives me a true release —
Gives me the clasp of peace.

Slight was the thing I bought,
Small was the debt I thought,
Poor was the loan at best —
God! but the interest!"
PAUL LAURENCE DUNBAR,"The Haunted Oak
","Pray why are you so bare, so bare,
   Oh, bough of the old oak-tree;
And why, when I go through the shade you throw,
   Runs a shudder over me?

My leaves were green as the best, I trow,
   And sap ran free in my veins,
But I saw in the moonlight dim and weird
   A guiltless victim's pains.

I bent me down to hear his sigh;
   I shook with his gurgling moan,
And I trembled sore when they rode away,
   And left him here alone.

They'd charged him with the old, old crime,
   And set him fast in jail:
Oh, why does the dog howl all night long,
   And why does the night wind wail?

He prayed his prayer and he swore his oath,
   And he raised his hand to the sky;
But the beat of hoofs smote on his ear,
   And the steady tread drew nigh.

Who is it rides by night, by night,
   Over the moonlit road?
And what is the spur that keeps the pace,
   What is the galling goad?

And now they beat at the prison door,
   ""Ho, keeper, do not stay!
We are friends of him whom you hold within,
   And we fain would take him away

""From those who ride fast on our heels
   With mind to do him wrong;
They have no care for his innocence,
   And the rope they bear is long.""

They have fooled the jailer with lying words,
   They have fooled the man with lies;
The bolts unbar, the locks are drawn,
   And the great door open flies.

Now they have taken him from the jail,
   And hard and fast they ride,
And the leader laughs low down in his throat,
   As they halt my trunk beside.

Oh, the judge, he wore a mask of black,
   And the doctor one of white,
And the minister, with his oldest son,
   Was curiously bedight.

Oh, foolish man, why weep you now?
   'Tis but a little space,
And the time will come when these shall dread
   The mem'ry of your face.

I feel the rope against my bark,
   And the weight of him in my grain,
I feel in the throe of his final woe
   The touch of my own last pain.

And never more shall leaves come forth
   On the bough that bears the ban;
I am burned with dread, I am dried and dead,
   From the curse of a guiltless man.

And ever the judge rides by, rides by,
   And goes to hunt the deer,
And ever another rides his soul
   In the guise of a mortal fear.

And ever the man he rides me hard,
   And never a night stays he;
For I feel his curse as a haunted bough,
   On the trunk of a haunted tree.
"
PAUL LAURENCE DUNBAR,"Invitation to Love
","Come when the nights are bright with stars
Or come when the moon is mellow;
Come when the sun his golden bars
Drops on the hay-field yellow.
Come in the twilight soft and gray,
Come in the night or come in the day,
Come, O love, whene’er you may,
And you are welcome, welcome.

You are sweet, O Love, dear Love,
You are soft as the nesting dove.
Come to my heart and bring it to rest
As the bird flies home to its welcome nest.

Come when my heart is full of grief
Or when my heart is merry;
Come with the falling of the leaf
Or with the redd’ning cherry.
Come when the year’s first blossom blows,
Come when the summer gleams and glows,
Come with the winter’s drifting snows,
And you are welcome, welcome."
PAUL LAURENCE DUNBAR,"The Lawyers' Ways
","I've been list'nin' to them lawyers
In the court house up the street,
An' I've come to the conclusion
That I'm most completely beat.
Fust one feller riz to argy,
An' he boldly waded in
As he dressed the tremblin' pris'ner
In a coat o' deep-dyed sin.

Why, he painted him all over
In a hue o' blackest crime,
An' he smeared his reputation
With the thickest kind o' grime,
Tell I found myself a-wond'rin',
In a misty way and dim,
How the Lord had come to fashion
Sich an awful man as him.

Then the other lawyer started,
An' with brimmin', tearful eyes,
Said his client was a martyr
That was brought to sacrifice.
An' he give to that same pris'ner
Every blessed human grace,
Tell I saw the light o' virtue
Fairly shinin' from his face.

Then I own 'at I was puzzled
How sich things could rightly be;
An' this aggervatin' question
Seems to keep a-puzzlin' me.
So, will some one please inform me,
An' this mystery unroll—
How an angel an' a devil
Can persess the self-same soul?"
PAUL LAURENCE DUNBAR,"Little Brown Baby
","Little brown baby wif spa'klin' eyes,
Come to yo' pappy an' set on his knee.
What you been doin', suh — makin' san' pies?
Look at dat bib — you's es du'ty ez me.
Look at dat mouf — dat's merlasses, I bet;
Come hyeah, Maria, an' wipe off his han's.
Bees gwine to ketch you an' eat you up yit,
Bein' so sticky an sweet — goodness lan's!

Little brown baby wif spa'klin' eyes,
Who's pappy's darlin' an' who's pappy's chile?
Who is it all de day nevah once tries
Fu' to be cross, er once loses dat smile?
Whah did you git dem teef? My, you's a scamp!
Whah did dat dimple come f'om in yo' chin?
Pappy do' know you — I b'lieves you's a tramp;
Mammy, dis hyeah's some ol' straggler got in!

Let's th'ow him outen de do' in de san',
We do' want stragglers a-layin' 'roun' hyeah;
Let's gin him 'way to de big buggah-man;
I know he's hidin' erroun' hyeah right neah.
Buggah-man, buggah-man, come in de do',
Hyeah's a bad boy you kin have fu' to eat.
Mammy an' pappy do' want him no mo',
Swaller him down f'om his haid to his feet!

Dah, now, I t'ought dat you'd hug me up close.
Go back, ol' buggah, you sha'n't have dis boy.
He ain't no tramp, ner no straggler, of co'se;
He's pappy's pa'dner an' play-mate an' joy.
Come to you' pallet now — go to yo' res';
Wisht you could allus know ease an' cleah skies;
Wisht you could stay jes' a chile on my breas'—
Little brown baby wif spa'klin' eyes!
"
PAUL LAURENCE DUNBAR,"A Negro Love Song
","Seen my lady home las' night,
Jump back, honey, jump back.
Hel' huh han' an' sque'z it tight,
Jump back, honey, jump back.
Hyeahd huh sigh a little sigh,
Seen a light gleam f'om huh eye,
An' a smile go flittin' by —
Jump back, honey, jump back.

Hyeahd de win' blow thoo de pine,
Jump back, honey, jump back.
Mockin'-bird was singin' fine,
Jump back, honey, jump back.
An' my hea't was beatin' so,
When I reached my lady's do',
Dat I could n't ba' to go —
Jump back, honey, jump back.

Put my ahm aroun' huh wais',
Jump back, honey, jump back.
Raised huh lips an' took a tase,
Jump back, honey, jump back.
Love me, honey, love me true?
Love me well ez I love you?
An' she answe'd, ""'Cose I do""—
Jump back, honey, jump back.
"
PAUL LAURENCE DUNBAR,"Night of Love
","The moon has left the sky, love,
The stars are hiding now,
And frowning on the world, love,
Night bares her sable brow.

The snow is on the ground, love,
And cold and keen the air is.
I’m singing here to you, love;
You’re dreaming there in Paris.

But this is Nature’s law, love,
Though just it may not seem,
That men should wake to sing, love;
While maidens sleep and dream.

Them care may not molest, love,
Nor stir them from their slumbers,
Though midnight find the swain, love.
Still halting o’er his numbers.

I watch the rosy dawn, love,
Come stealing up the east,
While all things round rejoice, love,
That Night her reign has ceased.

The lark will soon be heard, love,
And on his way be winging;
When Nature’s poets, wake, love,
Why should a man be singing?
"
PAUL LAURENCE DUNBAR,"The Old Front Gate
","W'en daih's chillun in de house,
Dey keep on a-gittin' tall;
But de folks don' seem to see
Dat dey's growin' up at all,
'Twell dey fin' out some fine day
Dat de gals has 'menced to grow,
W'en dey notice as dey pass
Dat de front gate's saggin' low.

W'en de hinges creak an' cry,
An' de bahs go slantin' down,
You kin reckon dat hit's time
Fu' to cas' yo' eye erroun',
'Cause daih ain't no 'sputin' dis,
Hit's de trues' sign to show
Dat daih's cou'tin goin' on
W'en de ol' front gate sags low.

Oh, you grumble an' complain,
An' you prop dat gate up right;
But you notice right nex' day
Dat hit's in de same ol' plight.
So you fin' dat hit's a rule,
An' daih ain' no use to blow,
W'en de gals is growin' up,
Dat de front gate will sag low.

Den you t'ink o' yo' young days,
W'en you cou'ted Sally Jane,
An' you so't o' feel ashamed
Fu' to grumble an' complain,
'Cause yo' ricerlection says,
An' you know hits wo'ds is so,
Dat huh pappy had a time
Wid his front gate saggin' low.

So you jes' looks on an' smiles
At 'em leanin' on de gate,
Tryin' to t'ink whut he kin say
Fu' to keep him daih so late,
But you lets dat gate erlone,
Fu' yo' 'sperunce goes to show,
'Twell de gals is ma'ied off,
It gwine keep on saggin' low."
PAUL LAURENCE DUNBAR,"The Paradox
","I am the mother of sorrows,
   I am the ender of grief;
I am the bud and the blossom,
   I am the late-falling leaf.

I am thy priest and thy poet,
   I am thy serf and thy king;
I cure the tears of the heartsick,
   When I come near they shall sing.

White are my hands as the snowdrop;
   Swart are my fingers as clay;
Dark is my frown as the midnight,
   Fair is my brow as the day.

Battle and war are my minions,
   Doing my will as divine;
I am the calmer of passions,
   Peace is a nursling of mine.

Speak to me gently or curse me,
   Seek me or fly from my sight;
I am thy fool in the morning,
   Thou art my slave in the night.

Down to the grave will I take thee,
   Out from the noise of the strife;
Then shalt thou see me and know me—
   Death, then, no longer, but life.

Then shalt thou sing at my coming,
   Kiss me with passionate breath,
Clasp me and smile to have thought me
   Aught save the foeman of Death.

Come to me, brother, when weary,
   Come when thy lonely heart swells;
I’ll guide thy footsteps and lead thee
   Down where the Dream Woman dwells."
PAUL LAURENCE DUNBAR,"Ships that Pass in the Night
","Out in the sky the great dark clouds are massing;
I look far out into the pregnant night,
Where I can hear a solemn booming gun
And catch the gleaming of a random light,
That tells me that the ship I seek is passing, passing.

My tearful eyes my soul's deep hurt are glassing;
For I would hail and check that ship of ships.
I stretch my hands imploring, cry aloud,
My voice falls dead a foot from mine own lips,
And but its ghost doth reach that vessel, passing, passing.

O Earth, O Sky, O Ocean, both surpassing,
O heart of mine, O soul that dreads the dark!
Is there no hope for me? Is there no way
That I may sight and check that speeding bark
Which out of sight and sound is passing, passing?"
PAUL LAURENCE DUNBAR,"Signs of the Times
","Air a-gittin' cool an' coolah,
   Frost a-comin' in de night,
Hicka' nuts an' wa'nuts fallin',
   Possum keepin' out o' sight.
Tu'key struttin' in de ba'nya'd,
   Nary step so proud ez his;
Keep on struttin', Mistah Tu'key,
   Yo' do' know whut time it is.

Cidah press commence a-squeakin'
   Eatin' apples sto'ed away,
Chillun swa'min' 'roun' lak ho'nets,
   Huntin' aigs ermung de hay.
Mistah Tu'key keep on gobblin'
   At de geese a-flyin' souf,
Oomph! dat bird do' know whut's comin';
   Ef he did he'd shet his mouf.

Pumpkin gittin' good an' yallah
   Mek me open up my eyes;
Seems lak it's a-lookin' at me
   Jes' a-la'in' dah sayin' ""Pies.""
Tu'key gobbler gwine 'roun' blowin',
   Gwine 'roun' gibbin' sass an' slack;
Keep on talkin', Mistah Tu'key,
   You ain't seed no almanac.

Fa'mer walkin' th'oo de ba'nya'd
   Seein' how things is comin' on,
Sees ef all de fowls is fatt'nin'—
   Good times comin' sho's you bo'n.
Hyeahs dat tu'key gobbler braggin',
   Den his face break in a smile—
Nebbah min', you sassy rascal,
   He's gwine nab you atter while.

Choppin' suet in de kitchen,
   Stonin' raisins in de hall,
Beef a-cookin' fu' de mince meat,
   Spices groun'—I smell 'em all.
Look hyeah, Tu'key, stop dat gobblin',
   You ain' luned de sense ob feah,
You ol' fool, yo' naik's in dangah,
   Do' you know Thanksgibbin's hyeah?
"
PAUL LAURENCE DUNBAR,"Song (Wintah, summah, snow er shine)
","Wintah, summah, snow er shine,
Hit's all de same to me,
Ef only I kin call you mine,
An' keep you by my knee.

Ha'dship, frolic, grief er caih,
Content by night an' day,
Ef only I kin see you whaih
You wait beside de way.

Livin', dyin', smiles er teahs,
My soul will still be free,
Ef only thoo de comin' yeahs
You walk de worl' wid me.

Bird-song, breeze-wail, chune er moan,
What puny t'ings dey'll be,
Ef w'en I's seemin' all erlone,
I knows yo' hea't's wid me.
"
PAUL LAURENCE DUNBAR,Sympathy,"I know what the caged bird feels, alas!
    When the sun is bright on the upland slopes;   
When the wind stirs soft through the springing grass,   
And the river flows like a stream of glass;
    When the first bird sings and the first bud opes,   
And the faint perfume from its chalice steals—
I know what the caged bird feels!

I know why the caged bird beats his wing
    Till its blood is red on the cruel bars;   
For he must fly back to his perch and cling   
When he fain would be on the bough a-swing;
    And a pain still throbs in the old, old scars   
And they pulse again with a keener sting—
I know why he beats his wing!

I know why the caged bird sings, ah me,
    When his wing is bruised and his bosom sore,—
When he beats his bars and he would be free;
It is not a carol of joy or glee,
    But a prayer that he sends from his heart’s deep core,   
But a plea, that upward to Heaven he flings—
I know why the caged bird sings!"
PAUL LAURENCE DUNBAR,"Thou Art My Lute
","Thou art my lute, by thee I sing,—
     My being is attuned to thee.
Thou settest all my words a-wing,
     And meltest me to melody.
 
Thou art my life, by thee I live,
     From thee proceed the joys I know;
Sweetheart, thy hand has power to give
     The meed of love—the cup of woe.
 
Thou art my love, by thee I lead
     My soul the paths of light along,
From vale to vale, from mead to mead,
     And home it in the hills of song.
 
My song, my soul, my life, my all,
     Why need I pray or make my plea,
Since my petition cannot fall;
     For I’m already one with thee!"
PAUL LAURENCE DUNBAR,"We Wear the Mask
","We wear the mask that grins and lies,
It hides our cheeks and shades our eyes,—
This debt we pay to human guile;
With torn and bleeding hearts we smile,
And mouth with myriad subtleties.

Why should the world be over-wise,
In counting all our tears and sighs?
Nay, let them only see us, while
       We wear the mask.

We smile, but, O great Christ, our cries
To thee from tortured souls arise.
We sing, but oh the clay is vile
Beneath our feet, and long the mile;
But let the world dream otherwise,
       We wear the mask!"
PAUL LAURENCE DUNBAR,"When de Co'n Pone's Hot
","Dey is times in life when Nature
Seems to slip a cog an' go,
Jes' a-rattlin' down creation,
Lak an ocean's overflow;
When de worl' jes' stahts a-spinnin'
Lak a picaninny's top,
An' yo' cup o' joy is brimmin'
'Twell it seems about to slop,
An' you feel jes' lak a racah,
Dat is trainin' fu' to trot—
When yo' mammy says de blessin'
An' de co'n pone's hot.

When you set down at de table,
Kin' o' weary lak an' sad,
An' you 'se jes' a little tiahed
An' purhaps a little mad;
How yo' gloom tu'ns into gladness,
How yo' joy drives out de doubt
When de oven do' is opened,
An' de smell comes po'in' out;
Why, de 'lectric light o' Heaven
Seems to settle on de spot,
When yo' mammy says de blessin'
An' de co'n pone's hot.

When de cabbage pot is steamin'
An' de bacon good an' fat,
When de chittlins is a-sputter'n'
So's to show you whah dey's at;
Tek away yo' sody biscuit,
Tek away yo' cake an' pie,
Fu' de glory time is comin',
An' it's 'proachin' mighty nigh,
An' you want to jump an' hollah,
Dough you know you'd bettah not,
When yo' mammy says de blessin'
An' de co'n pone's hot.

I have hyeahd a' lots o' sermons,
An' I've hyeahd o' lots o' prayers,
An I've listened to some singin'
Dat has tuck me up de stairs
Of de Glory-Lan' an' set me
Jes' below de Mastah's th'one,
An' have lef' my hea't a-singin'
In a happy aftah tone;
But dem wu'ds so sweetly murmured
Seem to tech de softes' spot,
When my mammy says de blessin',
An' de co'n pone's hot.
"
PHILLIS WHEATLEY,A Hymn to the Evening,"Soon as the sun forsook the eastern main
The pealing thunder shook the heav'nly plain;
Majestic grandeur! From the zephyr's wing,
Exhales the incense of the blooming spring.
Soft purl the streams, the birds renew their notes,
And through the air their mingled music floats.
Through all the heav'ns what beauteous dies are spread!
But the west glories in the deepest red:
So may our breasts with ev'ry virtue glow,
The living temples of our God below!
Fill'd with the praise of him who gives the light,
And draws the sable curtains of the night,
Let placid slumbers sooth each weary mind,
At morn to wake more heav'nly, more refin'd;
So shall the labours of the day begin
More pure, more guarded from the snares of sin.
Night's leaden sceptre seals my drowsy eyes,
Then cease, my song, till fair Aurora rise."
PHILLIS WHEATLEY,On Being Brought from Africa to America,"Twas mercy brought me from my Pagan land,
Taught my benighted soul to understand
That there's a God, that there's a Saviour too:
Once I redemption neither sought nor knew.
Some view our sable race with scornful eye,
""Their colour is a diabolic die.""
Remember, Christians, Negros, black as Cain,
May be refin'd, and join th' angelic train."
PHILLIS WHEATLEY,"On Imagination
","Thy various works, imperial queen, we see,
    How bright their forms! how deck'd with pomp by thee!
Thy wond'rous acts in beauteous order stand,
And all attest how potent is thine hand.

    From Helicon's refulgent heights attend,
Ye sacred choir, and my attempts befriend:
To tell her glories with a faithful tongue,
Ye blooming graces, triumph in my song.

    Now here, now there, the roving Fancy flies,
Till some lov'd object strikes her wand'ring eyes,
Whose silken fetters all the senses bind,
And soft captivity involves the mind.

    Imagination! who can sing thy force?
Or who describe the swiftness of thy course?
Soaring through air to find the bright abode,
Th' empyreal palace of the thund'ring God,
We on thy pinions can surpass the wind,
And leave the rolling universe behind:
From star to star the mental optics rove,
Measure the skies, and range the realms above.
There in one view we grasp the mighty whole,
Or with new worlds amaze th' unbounded soul.

    Though Winter frowns to Fancy's raptur'd eyes
The fields may flourish, and gay scenes arise;
The frozen deeps may break their iron bands,
And bid their waters murmur o'er the sands.
Fair Flora may resume her fragrant reign,
And with her flow'ry riches deck the plain;
Sylvanus may diffuse his honours round,
And all the forest may with leaves be crown'd:
Show'rs may descend, and dews their gems disclose,
And nectar sparkle on the blooming rose.

    Such is thy pow'r, nor are thine orders vain,
O thou the leader of the mental train:
In full perfection all thy works are wrought,
And thine the sceptre o'er the realms of thought.
Before thy throne the subject-passions bow,
Of subject-passions sov'reign ruler thou;
At thy command joy rushes on the heart,
And through the glowing veins the spirits dart.

    Fancy might now her silken pinions try
To rise from earth, and sweep th' expanse on high:
From Tithon's bed now might Aurora rise,
Her cheeks all glowing with celestial dies,
While a pure stream of light o'erflows the skies.
The monarch of the day I might behold,
And all the mountains tipt with radiant gold,
But I reluctant leave the pleasing views,
Which Fancy dresses to delight the Muse;
Winter austere forbids me to aspire,
And northern tempests damp the rising fire;
They chill the tides of Fancy's flowing sea,
Cease then, my song, cease the unequal lay."
PHILLIS WHEATLEY,"On Virtue
","O thou bright jewel in my aim I strive
To comprehend thee. Thine own words declare
Wisdom is higher than a fool can reach.
I cease to wonder, and no more attempt
Thine height t’explore, or fathom thy profound.
But, O my soul, sink not into despair,
Virtue is near thee, and with gentle hand
Would now embrace thee, hovers o’er thine head.
Fain would the heaven-born soul with her converse,
Then seek, then court her for her promised bliss.

Auspicious queen, thine heavenly pinions spread,
And lead celestial Chastity along;
Lo! now her sacred retinue descends,
Arrayed in glory from the orbs above.
Attend me, Virtue, thro’ my youthful years!
O leave me not to the false joys of time!
But guide my steps to endless life and bliss.
Greatness, or Goodness, say what I shall call thee,
To give an higher appellation still,
Teach me a better strain, a nobler lay,
O Thou, enthroned with Cherubs in the realms of day!"
